[10441.503071] CPUID(0x4FFFFFFE), exit number: 54, exits= 7
[10443.192604] CPUID(0x4FFFFFFE), exit number: 55, exits= 6
[10443.196417] CPUID(0x4FFFFFFE), exit number: 55, exits= 6
[10444.968986] CPUID(0x4FFFFFFE), exit number: 56, exits= 0
[10444.970005] CPUID(0x4FFFFFFE), exit number: 56, exits= 0
[10446.796094] CPUID(0x4FFFFFFE), exit number: 57, exits= 0
[10446.798387] CPUID(0x4FFFFFFE), exit number: 57, exits= 0
[10448.460027] CPUID(0x4FFFFFFE), exit number: 58, exits= 169314
[10448.461038] CPUID(0x4FFFFFFE), exit number: 58, exits= 169314
[10450.301865] CPUID(0x4FFFFFFE), exit number: 59, exits= 0
[10450.303001] CPUID(0x4FFFFFFE), exit number: 59, exits= 0
[10452.983791] CPUID(0x4FFFFFFE), exit number: 60, exits= 0
[10452.991063] CPUID(0x4FFFFFFE), exit number: 60, exits= 0
[10455.537237] CPUID(0x4FFFFFFE), exit number: 61, exits= 0
[10455.544311] CPUID(0x4FFFFFFE), exit number: 61, exits= 0
[10456.872033] CPUID(0x4FFFFFFE), exit number: 62, exits= 0
[10456.872863] CPUID(0x4FFFFFFE), exit number: 62, exits= 0
[10465.196491] CPUID(0x4FFFFFFE), exit number: 67, exits= 0
[10465.200135] CPUID(0x4FFFFFFE), exit number: 67, exits= 0
[10467.111348] CPUID(0x4FFFFFFE), exit number: 68, exits= 0
[10467.113498] CPUID(0x4FFFFFFE), exit number: 68, exits= 0
